module,last_version,old_name,old_url,evidence,target_module,target_name,target_url,jaccard,name_similarity,score,confirmed
person,2025.0.0-alpha2,MII_PR_Person_Proband,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/ResearchSubject,similar,studie,MII_PR_Studie_Proband,https://www.medizininformatik-initiative.de/fhir/modul-studie/StructureDefinition/mii-pr-studie-proband,0.938,1.0,0.963,
person,1.0.3-alpha3,ProbantIn,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/ResearchSubject,similar,studie,MII_PR_Studie_Proband,https://www.medizininformatik-initiative.de/fhir/modul-studie/StructureDefinition/mii-pr-studie-proband,0.824,0.75,0.794,
mtb,2025.0.0-ballot-alpha.1,MII_PR_MTB_Genomic_Study_Analysis,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/genomic-study-analysis,similar,molgen,MII_PR_MolGen_GenomicStudyAnalysis,https://www.medizininformatik-initiative.de/fhir/ext/modul-molgen/StructureDefinition/mii-pr-molgen-genomic-study-analysis,0.385,1.0,0.631,
person,1.0.3-alpha3,Observation - Vitalstatus,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Vitalstatus,similar,base,MII_PR_Person_Vitalstatus,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Vitalstatus,0.6,0.667,0.627,
prozedur,0.9.2,Prozedur,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Procedure,similar,base,MII_PR_Prozedur_Procedure,https://www.medizininformatik-initiative.de/fhir/core/modul-prozedur/StructureDefinition/Procedure,0.481,0.824,0.618,
symptom,2024.0.0-alpha1,MII_PR_Symptom_Condition,https://www.medizininformatik-initiative.de/fhir/ext/modul-symptom/StructureDefinition/finding-condition,similar,seltene,MII_PR_Seltene_Symptom_Condition,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-symptom-condition,0.36,1.0,0.616,
icu,2025.0.4,SD_MII_ICU_Devicemetric_Eingestellte_Gemessene_Parameter_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/devicemetric-eingestellte-gemessene-parameter-beatmung,similar,kardiologie,MII_PR_Kardio_NBG_Schrittmachermodus,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-nbg-schrittmachermodus,0.857,0.225,0.604,
icu,2026.0.2,MII_PR_ICU_Devicemetric_Eingestellte_Gemessene_Parameter_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-devicemetric-eingestellte-gemessene-parameter-beatmung,similar,kardiologie,MII_PR_Kardio_NBG_Schrittmachermodus,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-nbg-schrittmachermodus,0.857,0.225,0.604,
icu,2026.0.1,MII_PR_ICU_VENT_Devicemetric_Eingestellte_Gemessene_Parameter_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-devicemetric-eingestellte-gemessene-parameter-beatmung,similar,kardiologie,MII_PR_Kardio_NBG_Schrittmachermodus,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-nbg-schrittmachermodus,0.857,0.225,0.604,
icu,2025.0.4,SD_MII_ICU_Devicemetric_Eingestellte_Gemessene_Parameter_Extrakorporale_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/devicemetric-eingestellte-gemessene-parameter-extrakorporale-verfahren,similar,kardiologie,MII_PR_Kardio_NBG_Schrittmachermodus,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-nbg-schrittmachermodus,0.857,0.163,0.579,
icu,2026.0.2,MII_PR_ICU_Devicemetric_Eingestellte_Gemessene_Parameter_Extrakorporale_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-devicemetric-eingestellte-gemessene-parameter-extrakorporale-verfahren,similar,kardiologie,MII_PR_Kardio_NBG_Schrittmachermodus,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-nbg-schrittmachermodus,0.857,0.163,0.579,
icu,2026.0.1,MII_PR_ICU_ECT_Devicemetric_Eingestellte_Gemessene_Parameter_Extrakorporale_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-devicemetric-eingestellte-gemessene-parameter-extrakorporale-verfahren,similar,kardiologie,MII_PR_Kardio_NBG_Schrittmachermodus,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-nbg-schrittmachermodus,0.857,0.163,0.579,
person,1.0.3-alpha3,PatientIn,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Patient,similar,base,MII_PR_Person_Patient,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,0.363,0.875,0.568,
symptom,2024.0.0-alpha1,MII_PR_Symptom_Observation,https://www.medizininformatik-initiative.de/fhir/ext/modul-symptom/StructureDefinition/finding-observation,similar,patho,MII_PR_Patho_Base_Observation,https://www.medizininformatik-initiative.de/fhir/ext/modul-patho/StructureDefinition/mii-pr-patho-base-observation,0.27,1.0,0.562,
