module,old_version,new_version,resource_type,old_name,new_name,score,jaccard,name_similarity,old_url,new_url,second_best,confirmed
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Arterieller_Blutdruck,,,,,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-arterieller-blutdruck,,,
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Atemfrequenz,,,,,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-atemfrequenz,,,
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Abnahme_Haemofiltration_Einzelmesswerte,MII_PR_ICU_Bilanz_Ausfuhr_Haemofiltration_Einzelmesswerte,0.886,0.875,0.912,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-abnahme-haemofiltration-einzelmesswerte,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-haemofiltration-einzelmesswerte,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit (0.79),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Ausfuhr_Drainage_OP,MII_PR_ICU_Bilanz_Ausfuhr_OP_Drainage,0.742,0.667,0.919,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-drainage-op,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust (0.69),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Ausfuhr_Drainage_Wund,MII_PR_ICU_Bilanz_Ausfuhr_OP_Drainage,0.735,0.667,0.895,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-drainage-wund,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust (0.69),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Ausfuhr_Gallengang,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.843,0.875,0.767,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-gallengang,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage (0.84),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Ausfuhr_Opdrainage,MII_PR_ICU_Bilanz_Ausfuhr_OP_Drainage,0.892,0.875,0.932,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-opdrainage,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust (0.83),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Blutverlust,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.876,0.875,0.879,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage (0.79),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Einfuhr_Enterale_Fluesse,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.687,0.667,0.734,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-einfuhr-enterale-fluesse,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit (0.67),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Einfuhr_Oraler_Fluesse,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.693,0.667,0.753,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-einfuhr-oraler-fluesse,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage (0.68),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Einfuhr_Oraler_Fluessigkeit,MII_PR_ICU_Bilanz_Tagesbilanz_Fluessigkeit,0.84,0.875,0.759,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-einfuhr-oraler-fluessigkeit,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust (0.83),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Bilanz_Gesamte_Ausfuhr,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.827,0.875,0.714,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-gesamte-ausfuhr,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage (0.83),
